Date,Open,High,Low,Close,Adj Close,Volume
10-12-2003,69.620941,71.755981,69.420998,71.063339,58.94772,71979272
11-12-2003,71.563187,71.977341,69.863716,70.420685,58.414639,52038305
12-12-2003,70.84198,70.84198,69.628082,70.163628,58.201389,34773469
15-12-2003,70.263596,71.734558,70.263596,71.263275,59.113564,41748896
16-12-2003,71.234718,72.470039,70.356422,72.091591,59.800667,63409772
17-12-2003,72.262962,72.462898,71.420372,71.79882,59.557812,43593543
18-12-2003,71.377525,73.019867,71.377525,72.398636,60.055355,47895031
19-12-2003,72.548592,74.683632,72.548592,74.362305,61.684254,74729262
22-12-2003,74.426567,75.690453,74.426567,75.340569,62.495708,30075137
23-12-2003,62.123299,75.661896,62.123299,74.60508,61.885635,32230471
24-12-2003,74.283752,75.833267,74.283752,75.390549,62.537186,30423420
25-12-2003,75.390549,75.390549,75.390549,75.390549,62.537186,0
26-12-2003,75.854691,76.07605,75.297722,75.719017,62.809666,24082294
29-12-2003,76.118889,76.968628,76.004646,76.725845,63.644821,23197579
30-12-2003,76.69014,82.831062,76.440224,80.360413,66.659729,86247131
31-12-2003,80.260445,83.230942,80.260445,81.809959,67.86216,80325136
01-01-2004,82.831062,82.831062,80.995926,81.495773,67.601532,28507736
02-01-2004,82.045601,84.102097,81.495773,83.573685,69.325165,56828177
05-01-2004,83.545128,84.244904,81.688568,82.838203,68.71508,42719149
06-01-2004,82.973877,84.044968,80.553207,81.745689,67.808838,40580144
07-01-2004,81.431503,83.188095,80.97451,82.852486,68.726929,41627233
08-01-2004,83.545128,85.387405,83.280922,84.273468,69.90564,37388736
09-01-2004,85.687309,86.494194,82.138428,82.638268,68.54924,61348162
12-01-2004,82.545441,83.388031,81.145882,81.581459,67.672607,39133454
13-01-2004,81.867081,84.187782,81.724274,83.887878,69.585815,41120343
14-01-2004,84.259186,85.544495,84.259186,85.258873,70.723038,35781219
15-01-2004,86.187149,86.5299,82.059875,82.559723,68.484085,47083651
16-01-2004,83.545128,83.802185,81.688568,82.988159,68.839485,56420200
19-01-2004,82.9953,84.116379,81.274414,83.509422,69.271858,39019122
20-01-2004,84.116379,85.373123,81.452927,82.03846,68.051682,42370111
21-01-2004,81.581459,82.788223,78.203949,78.967995,65.504707,45317919
22-01-2004,78.975136,82.102722,75.297722,76.440224,63.407902,71554491
23-01-2004,76.975761,80.153336,75.940376,79.667778,66.085182,65095364
26-01-2004,79.667778,79.667778,79.667778,79.667778,66.085182,0
27-01-2004,80.267586,83.316628,80.024803,82.923897,68.786163,49520362
28-01-2004,83.973564,84.152077,81.338676,82.216972,68.199768,58500170
29-01-2004,82.973877,83.67366,80.731728,81.617165,67.702225,103571318
30-01-2004,81.759972,82.745377,79.689194,80.053368,66.405029,43198457
02-02-2004,80.053368,80.053368,80.053368,80.053368,66.405029,0
03-02-2004,80.260445,80.660316,78.389603,79.075104,65.593544,48410891
04-02-2004,79.310745,82.117004,78.482437,81.602882,67.690376,51616044
05-02-2004,82.045601,82.616844,79.874855,80.63176,66.884811,50558236
06-02-2004,81.224426,82.402626,80.560349,82.174126,68.164223,45852930
09-02-2004,82.616844,84.259186,82.616844,84.073532,69.739784,34946941
